public_company_id,company_name_canonical,isin,ticker,exchange,ticker_exchange_key,country,sector,market_cap_raw,ipo_date_raw,status,source_system
PUB0000990,Hyper Poly Services,DE3URHA389SE,HPS,XETRA,HPS:XETRA,DE,REAL_ESTATE,16734,01/17/1990,ACTIVE,MANUAL
PUB0003232,Clear Sharp Dynamics,,CSD3,LSE,CSD3:LSE,GB,OTHER,4797,2022-02-09,DELISTED,LISTINGS_A
PUB0001156,Hyper Nano Analytics,USSGA0J0YJ9C,HNA,NASDAQ,HNA:NASDAQ,US,ENERGY,120058,2000-06-27,ACTIVE,LISTINGS_A
PUB0005044,Aero Cyber Wellness,DEYPPCTN9LJ5,ACW,XETRA,ACW:XETRA,DE,TECH,12440,21-Mar-1990,ACTIVE,LISTINGS_B
PUB0003141,Quartz Vector Life Sciences,CH6LH66MCXPF,QVL,SIX,QVL:SIX,CH,FINANCE,"13,971",2017-12-31,ACTIVE,LISTINGS_A
PUB0003037,Elite Prime Payments,SGHZ4ZZ7KR7M,EPP,SGX,EPP:SGX,SG,CONSUMER,15845,08-Nov-1996,ACTIVE,LISTINGS_B
PUB0000529,Diamond Lambda Payments,HK1E6Q5IMCQ0,DLP,HKEX,DLP:HKEX,HK,TECH,57770,1999-12-17,ACTIVE,LISTINGS_A
PUB0003575,Keen Alpha Pharma,HKD5E796RGKX,KAP1,HKEX,KAP1:HKEX,HK,TECH,3011,1993-12-08,ACTIVE,LISTINGS_B
PUB0000211,Free Nexus Bio,NLUFGPUAJUR3,FNB,Euronext,FNB:Euronext,NL,,1948,20090112,ACTIVE,LISTINGS_A
PUB0005743,Modern Marble Consulting,HK3LTUBK0AEZ,MMC2,HKEX,MMC2:HKEX,HK,TELECOM,18448,2019-10-21,ACTIVE,LISTINGS_A
PUB0005448,Beta Nano Advisory,HKD4IM56K2K8,BNA1,HKEX,BNA1:HKEX,HK,ENERGY,37077,1998-03-06,ACTIVE,LISTINGS_A
PUB0004001,Theta Terra Consulting,DELLOTSFRLIO,TTC,XETRA,TTC:XETRA,DE,INDUSTRIALS,2349,2009-12-23,ACTIVE,LISTINGS_B
PUB0003242,Brave Prime AI,GBO7ONXWBJ86,BPA1,LSE,BPA1:LSE,GB,INDUSTRIALS,7666,09-Dec-2014,ACTIVE,LISTINGS_B
PUB0002432,Fresh Quick Wealth,GBB9XXV5NF0B,FQW,LSE,FQW:LSE,GB,FINANCE,30022,1998-11-09,ACTIVE,LISTINGS_A
PUB0000683,Next New Medical,USF6OM433JGZ,NNM,NASDAQ,NNM:NASDAQ,US,TECH,1519,1991-08-09,ACTIVE,LISTINGS_A
PUB0005377,Swift Vertex Payments,US0XHYOXVY57,SVP,NASDAQ,SVP:NASDAQ,US,TELECOM,33534,2018-03-25,ACTIVE,LISTINGS_B
PUB0005228,Nano Free Energy,NL22IEKPVYHZ,NFE3,Euronext,NFE3:Euronext,NL,CONSUMER,33789,2002-08-17,ACTIVE,LISTINGS_A
PUB0003188,Solar Prime Wellness,CHR271ZVLO6G,SPW,SIX,SPW:SIX,CH,FINANCE,15865,2014-11-06,ACTIVE,LISTINGS_A
PUB0003738,Quick Omni Life Sciences,UST5K4BG0Y05,QOL,NASDAQ,QOL:NASDAQ,US,FINANCE,$32305,1992-05-22,ACTIVE,LISTINGS_A
PUB0001330,Integrated Kinetic Innovations,CHMGWTJKKLD8,IKI,SIX,IKI:SIX,CH,REAL_ESTATE,29037,19960412,ACTIVE,LISTINGS_A
PUB0005403,Just Mono AI,SG4Y69ZUN7U5,JMA,SGX,JMA:SGX,SG,ENERGY,28187,09-May-2017,ACTIVE,LISTINGS_B
PUB0004395,Uni Smart Healthcare,USDR266ITNAE,USH1,NASDAQ,USH1:NASDAQ,US,TELECOM,15077,06/02/1994,DELISTED,MANUAL
PUB0002405,Emerald Theta Services,GB43BMLAO1S8,ETS,LSE,ETS:LSE,GB,TECH,5766,2001-10-08,ACTIVE,LISTINGS_A
PUB0001271,Brave Innovative Labs,USHC10Z8TIGU,BIL,NASDAQ,BIL:NASDAQ,US,TECH,2651,2014-10-19,ACTIVE,LISTINGS_A
PUB0001919,Agile Cloud Digital,SGZNGXDL59OH,ACD4,SGX,ACD4:SGX,SG,TECH,1114,2021-05-15,ACTIVE,LISTINGS_B
PUB0004753,Vital Topaz Services,USNM9CTWY5BA,VTS1,NYSE,VTS1:NYSE,US,TELECOM,"36,216",2019-03-24,ACTIVE,LISTINGS_A
PUB0001674,Fair Sapphire Analytics,HK9A382L2DVN,FSA,HKEX,FSA:HKEX,HK,UTILITIES,29187,2000-04-12,ACTIVE,LISTINGS_A
PUB0000493,Right Vector Energy,USV0V0S0MA9G,RVE,NASDAQ,RVE:NASDAQ,US,TELECOM,14064,2002-10-01,DELISTED,LISTINGS_A
PUB0001696,Vital Innovative Wealth,DE2TGWS9MDX5,,XETRA,,DE,TECH,121879,15-May-1992,ACTIVE,LISTINGS_B
PUB0004987,Keen Rapid Med,SGEU0OEM34UL,KRM,SGX,KRM:SGX,SG,ENERGY,"25,053",1995-08-11,ACTIVE,LISTINGS_A
PUB0002370,Agile Meta Medical,SGIJHRLPG426,AMM2,SGX,AMM2:SGX,SG,INDUSTRIALS,6145,2020-05-06,ACTIVE,LISTINGS_A
PUB0000091,Vertex Modern Med,NL21AYO9H0IO,VMM1,Euronext,VMM1:Euronext,NL,FINANCE,50366,25-Feb-2023,ACTIVE,LISTINGS_B
PUB0004510,Mono Gamma Advisory,HK722BZAAJTG,MGA2,HKEX,MGA2:HKEX,HK,FINANCE,110453,20001211,ACTIVE,LISTINGS_A
PUB0002996,Nimble Alpha Analytics,GBPHWXEVZLLG,NAA3,LSE,NAA3:LSE,GB,HEALTHCARE,25088,2013-11-09,ACTIVE,LISTINGS_B
PUB0005352,Open Prism Therapeutics,GB5QBDJFRIFW,OPT2,LSE,OPT2:LSE,GB,TECH,127466,2015-08-24,ACTIVE,LISTINGS_A
PUB0002015,Zenith Omni Industries,USRAYCQY9TLI,ZOI,NYSE,ZOI:NYSE,US,TECH,63641,2004-12-22,ACTIVE,MANUAL
PUB0000988,Meta Amber Healthcare,GBCU5EEGM28N,MAH,LSE,MAH:LSE,GB,ENERGY,2909,1996-01-15,ACTIVE,LISTINGS_A
PUB0003497,Mono Core Labs,USJ658H3CC6M,MCL,NASDAQ,MCL:NASDAQ,US,HEALTHCARE,13332,1996-01-14,ACTIVE,LISTINGS_B
PUB0005142,Emerald Omni Consulting,SGCVDPYR2YDM,EOC,SGX,EOC:SGX,SG,ENERGY,7458,2020-06-24,ACTIVE,LISTINGS_B
PUB0004383,Quartz Delta Medical,DEPJJYNU0A09,QDM,XETRA,QDM:XETRA,DE,TECH,17783,18-May-2001,DELISTED,LISTINGS_B
PUB0001658,Just Sigma Enterprises,GBYAW32MXJSG,JSE,LSE,JSE:LSE,GB,TELECOM,3050,2005-12-06,ACTIVE,LISTINGS_A
PUB0002422,Data Cyber International,GBE0KHVAUSN2,DCI,LSE,DCI:LSE,GB,ENERGY,35264,2011-05-02,ACTIVE,LISTINGS_A
PUB0005250,Micro Dynamic Networks,US592098ZDBQ,,NYSE,,US,OTHER,15186,01-Jan-2012,ACTIVE,LISTINGS_B
PUB0001551,Alpha Amber Enterprises,NLT8XDLERMM9,AAE,Euronext,AAE:Euronext,NL,TECH,18168,1990-08-14,ACTIVE,LISTINGS_B
PUB0002849,Ruby Elite AI,NLI0WD2WZGTY,REA,Euronext,REA:Euronext,NL,,"61,675",2006-10-09,ACTIVE,LISTINGS_A
PUB0005314,Lunar Swift Insurance,GB62JLIRYE4F,LSI,LSE,LSI:LSE,GB,CONSUMER,9387,1998-10-19,ACTIVE,LISTINGS_A
PUB0003615,Pearl Delta Banking,USK1GYJIWTRI,PDB1,NYSE,PDB1:NYSE,US,TECH,64410,20230203,ACTIVE,LISTINGS_A
PUB0005513,Terra Cloud Advisory,GBTDTLBDX5DU,TCA2,LSE,TCA2:LSE,GB,OTHER,110239,04/01/2016,ACTIVE,MANUAL
PUB0003216,Advanced Prime Banking,US4JSTY82ACE,APB1,NYSE,APB1:NYSE,,INDUSTRIALS,$38839,1992-10-04,ACTIVE,LISTINGS_A
PUB0005877,Quartz Sigma Networks,CHX9EWGAH2OP,QSN1,SIX,QSN1:SIX,CH,REAL_ESTATE,$787,2009-06-02,ACTIVE,LISTINGS_A
PUB0002572,Rapid Central Labs,US0YUOFL3K3N,,NASDAQ,,US,FINANCE,103479,1997-01-25,ACTIVE,LISTINGS_A
PUB0000345,Sigma Aqua Financial,NLT7V0ONOFOW,SAF,Euronext,SAF:Euronext,NL,TELECOM,10064,2014-11-10,ACTIVE,LISTINGS_A
PUB0004261,Brave Clear Solutions,HKZ6V4SIJK2Z,BCS,HKEX,BCS:HKEX,HK,REAL_ESTATE,1721,2016-12-09,ACTIVE,LISTINGS_A
PUB0005087,Advanced Micro Health,CH4SS0EZZPD6,AMH2,SIX,AMH2:SIX,CH,TECH,7031,1990-11-03,ACTIVE,LISTINGS_A
PUB0001763,Unified Quick Health,USAXI600ZJJR,UQH,NYSE,UQH:NYSE,US,CONSUMER,"2,295",1991-06-25,ACTIVE,LISTINGS_A
PUB0004995,Open Nexus Enterprises,US5T37TM9XQA,ONE1,NYSE,ONE1:NYSE,US,INDUSTRIALS,5997,2017-07-05,ACTIVE,LISTINGS_B
PUB0004756,Agile Helix Enterprises,DENNIPUKY5LH,AHE,XETRA,AHE:XETRA,DE,CONSUMER,26235,31-Dec-2010,ACTIVE,LISTINGS_B
PUB0000977,Global Vertex Wellness,USM1R9YU8A09,GVW,NASDAQ,GVW:NASDAQ,US,FINANCE,N/A,1998-10-08,ACTIVE,LISTINGS_B
PUB0005089,Neural Free Platforms,HK09SZ20MYWE,NFP,HKEX,NFP:HKEX,HK,CONSUMER,38032,05/25/2019,ACTIVE,MANUAL
PUB0000181,Mono Next Insurance,CH9QI7QZGB5V,MNI1,SIX,MNI1:SIX,CH,REAL_ESTATE,44230,2019-09-27,ACTIVE,LISTINGS_A
PUB0001382,Gamma Theta Diagnostics,GBDZ752JWIPC,GTD1,LSE,GTD1:LSE,GB,FINANCE,3557,2000-01-20,DELISTED,LISTINGS_A
PUB0001191,Vector Nano Payments,USWQVZC73M74,VNP,NASDAQ,VNP:NASDAQ,US,CONSUMER,17872,18-Aug-2003,ACTIVE,LISTINGS_B
PUB0000458,Neural Ruby Global,US37J0Q1BZ2T,NRG,NASDAQ,NRG:NASDAQ,US,INDUSTRIALS,23665,2021-02-04,ACTIVE,LISTINGS_B
PUB0003151,Stellar Unified Research,GBIVITPN9XP4,SUR,LSE,SUR:LSE,GB,TECH,7364,1996-09-27,ACTIVE,LISTINGS_B
PUB0001915,Marble Topaz Solutions,DE97J5RRG6E8,MTS,XETRA,MTS:XETRA,DE,FINANCE,"22,523",1996-03-30,ACTIVE,LISTINGS_A
PUB0001498,Sigma Vertex Group,NL8COB6NYUAW,SVG,Euronext,SVG:Euronext,NL,TECH,5246,2006-12-04,ACTIVE,LISTINGS_A
PUB0005654,Quick Agile AI,GBQ1C6QW91FI,QAA,LSE,QAA:LSE,GB,HEALTHCARE,324999,2013-09-19,ACTIVE,LISTINGS_B
PUB0002878,Multi Alpha Systems,DEO849S5PADJ,MAS3,XETRA,MAS3:XETRA,DE,TECH,4005,16-Jan-2012,ACTIVE,LISTINGS_B
PUB0002152,Fair Aero Energy,USD8VVCPBPHO,FAE,NYSE,FAE:NYSE,US,FINANCE,"17,022",18-Jun-2004,ACTIVE,LISTINGS_B
PUB0000396,Swift Diamond Networks,NLGQ2JO5VJZE,SDN,Euronext,SDN:Euronext,NL,CONSUMER,18479,20020611,ACTIVE,LISTINGS_A
PUB0001944,Prism Right Energy,NL3JZN8607VE,PRE,Euronext,PRE:Euronext,NL,FINANCE,4911,2005-02-13,DELISTED,LISTINGS_A
PUB0000985,Quick Ultra Global,GBTT4GKYQAAX,QUG,LSE,QUG:LSE,GB,FINANCE,3591,2016-01-17,ACTIVE,LISTINGS_A
PUB0004054,Prime Synapse Networks,GB0FZDKHMYS2,PSN1,LSE,PSN1:LSE,GB,TECH,"23,861",1990-03-22,ACTIVE,LISTINGS_A
PUB0002081,Omega Bright Enterprises,USAP0RWJD1US,OBE1,NYSE,OBE1:NYSE,US,FINANCE,9544,2015-08-26,ACTIVE,MANUAL
PUB0005620,Vector Ultra Payments,CH36JVYGBYSX,VUP1,SIX,VUP1:SIX,CH,TECH,23530,1998-07-08,DELISTED,LISTINGS_A
PUB0000201,Stellar Pearl Group,US3NNGEPFXQQ,SPG,NYSE,SPG:NYSE,US,TECH,29873,2007-01-20,ACTIVE,LISTINGS_A
PUB0001377,Ruby Vital Diagnostics,SGUYNT97A6NB,RVD,SGX,RVD:SGX,SG,TECH,31215,03/19/2022,ACTIVE,MANUAL
PUB0000399,Central Stellar AI,NL2NS3UWR7N0,CSA,Euronext,CSA:Euronext,NL,INDUSTRIALS,2920,22-May-2004,DELISTED,LISTINGS_B
PUB0002272,Sapphire Prism Consulting,CHA3I69T4J1X,SPC,SIX,SPC:SIX,CH,TECH,12266,2020-09-27,DELISTED,LISTINGS_B
PUB0003830,Modern Dynamic Enterprises,NL0GRTOXK09Y,MDE,Euronext,MDE:Euronext,NL,CONSUMER,9337,04/08/2000,ACTIVE,MANUAL
PUB0000718,Lunar Micro Innovations,GBS9I9FQOCYL,LMI,LSE,LMI:LSE,GB,INDUSTRIALS,7198,2019-03-23,ACTIVE,LISTINGS_A
PUB0005613,Rapid Sharp Dynamics,CHYH2YJ4BIDJ,RSD3,SIX,RSD3:SIX,CH,REAL_ESTATE,16791,11-Jul-1995,DELISTED,LISTINGS_B
PUB0000193,Gamma Quantum Enterprises,HKCBYVLPEWH7,GQE,HKEX,GQE:HKEX,HK,FINANCE,4486,1998-04-21,ACTIVE,LISTINGS_A
PUB0003034,Stellar Nano Digital,NLSHGTK4H1HX,SND3,Euronext,SND3:Euronext,NL,FINANCE,11184,30/11/2022,ACTIVE,MANUAL
PUB0001401,Hyper Bold Labs,SGLH5HUUAXK2,HBL,SGX,HBL:SGX,SG,INDUSTRIALS,40788,2020-10-05,ACTIVE,LISTINGS_A
PUB0005509,Marble Nexus Bio,SG2G16ANN5KQ,MNB,SGX,MNB:SGX,SG,HEALTHCARE,6208,2023-12-03,ACTIVE,LISTINGS_A
PUB0003473,True Prism Pharma,SGTG6QVDHKVA,TPP,SGX,TPP:SGX,SG,,6431,09/01/2010,ACTIVE,MANUAL
PUB0002902,Terra Bold Platforms,HKH577E2V1H5,TBP1,HKEX,TBP1:HKEX,HK,REAL_ESTATE,5965,07-Sep-1995,ACTIVE,LISTINGS_B
PUB0004521,Topaz Nimble Life Sciences,US1D270QQ036,TNL1,NYSE,TNL1:NYSE,US,UTILITIES,12803,2013-08-17,ACTIVE,LISTINGS_A
PUB0001154,Helix Neural Labs,SGEGDRM0KVW0,HNL,SGX,HNL:SGX,SG,CONSUMER,18462,16-Sep-2008,ACTIVE,LISTINGS_B
PUB0005696,True Ultra Therapeutics,DE25F6F0KCS7,,XETRA,,DE,CONSUMER,20186,2013-01-12,ACTIVE,LISTINGS_A
PUB0002162,Just Digital Group,USI283UHVWUI,JDG,NYSE,JDG:NYSE,US,HEALTHCARE,79679,2009-09-05,DELISTED,MANUAL
PUB0004114,Brave Cyber Med,HKF7XGCO41VR,BCM1,HKEX,BCM1:HKEX,HK,TELECOM,33873,09/07/2001,ACTIVE,MANUAL
PUB0000252,Poly Nimble Innovations,HKXEC94N2FWO,PNI,HKEX,PNI:HKEX,HK,HEALTHCARE,2020,2009-08-31,ACTIVE,LISTINGS_A
PUB0004878,Dynamic Unified Systems,DE89E8QHFA7L,DUS1,XETRA,DUS1:XETRA,DE,CONSUMER,"18,002",30-Dec-2015,ACTIVE,LISTINGS_B
PUB0005261,Ruby Gamma Dynamics,US4DPVRM6UFL,RGD2,NASDAQ,RGD2:NASDAQ,US,HEALTHCARE,7051,2018-04-07,ACTIVE,LISTINGS_B
PUB0005209,Mono Onyx Insurance,US2CGYC933WU,MOI2,NASDAQ,MOI2:NASDAQ,US,REAL_ESTATE,47260,2001-06-17,ACTIVE,MANUAL
PUB0000770,Bright Jade Systems,DE0GEC1WKP8K,BJS,XETRA,BJS:XETRA,DE,CONSUMER,27809,2008-09-24,DELISTED,LISTINGS_B
PUB0004685,Bright Sharp Research,NL9GRAIHUA29,BSR1,Euronext,BSR1:Euronext,NL,TELECOM,"13,497",21-Nov-1996,ACTIVE,LISTINGS_B
PUB0004705,Integrated Fresh Global,NLT21J145R1Z,IFG,Euronext,IFG:Euronext,NL,CONSUMER,3989,1991-08-25,ACTIVE,LISTINGS_A
PUB0004999,Aero Diamond Systems,USE6IXUSXN19,ADS1,NASDAQ,ADS1:NASDAQ,US,TECH,27020,2007-06-13,ACTIVE,LISTINGS_A
PUB0001173,Sharp Ruby Insurance,CHZWT4L0FFN4,SRI,SIX,SRI:SIX,CH,HEALTHCARE,1921,2016-11-29,ACTIVE,LISTINGS_B
PUB0000777,Dynamic Bold Solutions,SGZV7LABVW2Y,DBS,SGX,DBS:SGX,SG,FINANCE,9851,2021-11-04,ACTIVE,LISTINGS_A
PUB0002460,Rapid Cosmic Med,NL5DU8AP3WTO,RCM,Euronext,RCM:Euronext,NL,FINANCE,15820,1999-02-27,DELISTED,LISTINGS_B
PUB0004484,Fair Emerald Healthcare,GBHYJJNV2ZPQ,FEH1,LSE,FEH1:LSE,GB,TECH,17684,07/29/2008,ACTIVE,MANUAL
PUB0004479,Quartz Ultra Technologies,GB53IFS62M6P,QUT,LSE,QUT:LSE,GB,FINANCE,10894,25-Sep-1996,ACTIVE,LISTINGS_B
PUB0003184,Delta Fast Enterprises,HK2X4196J4S4,DFE1,HKEX,DFE1:HKEX,HK,TECH,6923,2004-11-18,ACTIVE,LISTINGS_A
PUB0005075,Keen Quick Pharma,CHKUOP45JAEL,KQP1,SIX,KQP1:SIX,CH,,$30219,2017-12-13,ACTIVE,MANUAL
PUB0003544,Nimble New Medical,GBAGAGGPBEE2,NNM1,LSE,NNM1:LSE,GB,CONSUMER,1105,2012-12-04,ACTIVE,LISTINGS_A
PUB0005655,Aero Omni Enterprises,HKPUWBA0ITYQ,AOE,HKEX,AOE:HKEX,HK,TECH,43954,1992-02-10,ACTIVE,LISTINGS_A
PUB0004618,Cosmic Mono Wealth,USQ3PAUOQC0O,CMW,NASDAQ,CMW:NASDAQ,US,OTHER,"23,881",2007-12-06,ACTIVE,LISTINGS_B
PUB0001380,Granite Quick Corp,SGJGKW291RSE,GQC,SGX,GQC:SGX,SG,CONSUMER,9944,2019-05-14,ACTIVE,LISTINGS_A
PUB0000348,Nimble Bold Bio,CHJXGMH79Z5O,NBB,SIX,NBB:SIX,CH,TECH,9855,2004-08-06,ACTIVE,LISTINGS_A
PUB0002064,Solar Stellar Wellness,DEF7DGQJKRII,SSW1,XETRA,SSW1:XETRA,DE,HEALTHCARE,53649,1996-02-17,DELISTED,LISTINGS_A
PUB0004722,Free Quartz Group,DEQ04ZCYX626,FQG,XETRA,FQG:XETRA,DE,INDUSTRIALS,3785,12-Dec-2013,ACTIVE,LISTINGS_B
PUB0005797,Aero Matrix Industries,HK0YOEH2R44H,AMI3,HKEX,AMI3:HKEX,HK,TECH,24010,2006-01-08,ACTIVE,LISTINGS_A
PUB0000669,Diamond Prism Group,USQWZCJ34ZCH,DPG,NYSE,DPG:NYSE,US,OTHER,133997,24/06/2015,ACTIVE,MANUAL
PUB0002928,Cloud Matrix Digital,CHZQNRLWM45Q,CMD1,SIX,CMD1:SIX,CH,TECH,$82189,1992-05-05,ACTIVE,LISTINGS_A
PUB0000579,Kinetic Rapid Services,HKK9EEFR0HDU,KRS,HKEX,KRS:HKEX,HK,HEALTHCARE,29528,2003-05-24,DELISTED,LISTINGS_A
PUB0004603,Matrix Core Global,IET3Y20ZPN3F,MCG1,,,IE,HEALTHCARE,11935,12/28/2022,ACTIVE,MANUAL
PUB0004300,Terra Aqua Innovations,GBQ4YBTLGDP5,TAI2,LSE,TAI2:LSE,GB,CONSUMER,7978,2021-09-28,ACTIVE,LISTINGS_A
PUB0001027,Jade Nimble Labs,SGSCRB89JO7G,JNL,SGX,JNL:SGX,SG,TECH,923,1991-04-25,ACTIVE,LISTINGS_A
PUB0004777,Vector Clear Finance,HK4ZAEKHDEDS,VCF1,HKEX,VCF1:HKEX,HK,CONSUMER,17580,2014-11-15,DELISTED,MANUAL
PUB0000005,Solar Agile Healthcare,DEBMAKWG4RNW,SAH,XETRA,SAH:XETRA,DE,TECH,15194,2011-01-03,ACTIVE,MANUAL
PUB0001745,Digital Core Research,HK2F7QU28M6S,DCR1,HKEX,DCR1:HKEX,HK,TELECOM,10075,1990-08-28,ACTIVE,LISTINGS_A
PUB0001384,Pyro Beta Banking,HKV2TPVKPS2W,PBB,HKEX,PBB:HKEX,HK,TECH,50271,24-Jun-2004,ACTIVE,LISTINGS_B
PUB0005249,Multi Open Banking,USQHGO93G5CD,MOB,NYSE,MOB:NYSE,US,TECH,27964,1994-02-13,ACTIVE,LISTINGS_A
PUB0003563,Prime Alpha Wealth,CH59I4FD0SXW,PAW,SIX,PAW:SIX,CH,OTHER,$2975,2020-12-28,ACTIVE,LISTINGS_B
PUB0004910,Synapse Prism Digital,NLB9FBB9IQEW,SPD1,Euronext,SPD1:Euronext,NL,INDUSTRIALS,49477,03/05/1993,ACTIVE,MANUAL
PUB0002394,Next Stellar Group,SGAUF2T02RKX,NSG,SGX,NSG:SGX,SG,FINANCE,16218,09-Sep-2016,ACTIVE,LISTINGS_B
PUB0001571,Innovative Omni Consulting,USLDA7MOKY4J,IOC,NASDAQ,IOC:NASDAQ,US,HEALTHCARE,4041,2001-04-25,ACTIVE,LISTINGS_B
PUB0000869,Keen Premier Digital,DEUJKS5PDDEB,KPD,XETRA,KPD:XETRA,DE,TECH,2410,1993-04-04,ACTIVE,LISTINGS_A
PUB0002285,Nexus Crystal Enterprises,HKD8794VBZ4D,NCE,HKEX,NCE:HKEX,HK,TECH,472,2014-07-30,ACTIVE,LISTINGS_A
PUB0002796,Uni Sigma Med,GBOBI87WFV3S,USM1,,,GB,TELECOM,"123,151",1994-03-14,ACTIVE,LISTINGS_A
PUB0003679,True Digital Innovations,GBI3OX3OTGC2,TDI1,LSE,TDI1:LSE,GB,TECH,1815,1996-08-11,ACTIVE,LISTINGS_A
PUB0001870,Helix Sharp AI,NLW9ZE6GMHRD,HSA,Euronext,HSA:Euronext,NL,TELECOM,16242,09-May-1999,ACTIVE,LISTINGS_B
PUB0005892,Agile Prime Wellness,NLK3WIO4J05X,APW1,Euronext,APW1:Euronext,NL,CONSUMER,12256,2017-01-29,ACTIVE,LISTINGS_A
PUB0003539,Ruby Emerald Advisory,NL2V9ACMXSYF,REA1,Euronext,REA1:Euronext,NL,FINANCE,5165,1993-01-30,ACTIVE,LISTINGS_A
PUB0003680,Uni Agile Technologies,CHONOBY19N8Z,UAT,SIX,UAT:SIX,CH,INDUSTRIALS,4436,2000-12-08,ACTIVE,LISTINGS_A
PUB0001664,Cyber Next Consulting,CHE0523PR35S,CNC1,SIX,CNC1:SIX,CH,TECH,6487,2012-12-11,ACTIVE,MANUAL
PUB0001453,Keen New Innovations,CHWRRWC9RBJD,KNI1,SIX,KNI1:SIX,CH,TECH,2903,06/13/2010,ACTIVE,MANUAL
PUB0005895,Core Next Digital,DECPWJ8BJEU1,CND1,XETRA,CND1:XETRA,DE,TECH,2119,2013-12-30,ACTIVE,LISTINGS_A
PUB0005302,Pure Lunar Diagnostics,USZAZKMBHASO,PLD,NASDAQ,PLD:NASDAQ,US,FINANCE,6098,2021-09-24,ACTIVE,LISTINGS_B
PUB0004440,Open Global AI,DEBU8A33LS6X,OGA2,XETRA,OGA2:XETRA,DE,CONSUMER,177576,20101223,ACTIVE,LISTINGS_A
