investor_id,investor_name_canonical,investor_type,hq_country,founded_year,aum_usd_m,is_active,source_system,last_updated_ts_raw
INV0009623,Terra Polaris Asset Management,CORP_VENTURE,IN,1974,1081,Y,MANUAL,01/04/2022 11:00:14
INV0012280,Momentum Highland Private Equity,VC,AU,1969,3539,Y,REF_FEED_B,29-Apr-2023 20:37:26
INV0016448,Unity Guardian Associates,ANGEL,CN,1959,1509,Y,REF_FEED_A,1665210300000
INV0000424,Beacon Holdings,SOVEREIGN_FUND,NO,1955,598,N,REF_FEED_A,2023-02-14 17:02:46
INV0014338,Goldpoint Coastal Capital Partners,PE,US,1959,4386,Y,REF_FEED_A,1692546153000
INV0022164,Insight Riverside Associates,SOVEREIGN_FUND,LU,1958,1195,Y,REF_FEED_A,2023-09-25 09:16:04
INV0019840,Quantum Cedarpoint Growth Partners,ANGEL,CH,1967,4214,Y,REF_FEED_B,28-Nov-2024 14:45:31
INV0012457,Delta Venture Ventures,SOVEREIGN_FUND,AE,1984,866,Y,REF_FEED_B,31-Mar-2023 23:51:59
INV0010278,Midland Capital Investment Partners,VC,IN,1990,2857,Y,REF_FEED_A,2024-05-27 02:32:03
INV0023086,Coastal Riverside Group,PE,AE,2020,9807,Y,REF_FEED_A,2023-02-08 02:26:29
INV0001806,Jupiter Momentum Holdings,PE,AU,1978,4396,Y,REF_FEED_B,2023-12-30 06:33:52
INV0002791,Cascade Beacon Holdings,VC,DE,2019,636,Y,REF_FEED_B,12-Mar-2024 18:49:23
INV0024428,Polaris Silverstone Investment Partners,PE,IN,1955,7194,N,REF_FEED_A,2022-12-21 21:50:31
INV0017717,Aurora Prime Investments,HEDGE_FUND,AU,2002,7510,Y,REF_FEED_A,2023-06-17 19:42:02
INV0004973,Fusion Granite Growth Partners,VC,US,2019,4129,Y,REF_FEED_B,14-Apr-2023 08:14:59
INV0007614,Matrix Spectrum Investment Partners,VC,IE,2017,12139,Y,REF_FEED_B,2022-01-28 16:50:17
INV0017239,Crown Beacon Capital Partners,VC,DK,1992,$50,N,REF_FEED_A,2022-08-31 04:54:44
INV0013571,Ascend Pinnacle Investments,VC,JP,1990,2985,Y,REF_FEED_A,2022-12-09 18:50:36
INV0007947,Phoenix Vanguard Holdings,PE,NL,1970,285,N,REF_FEED_B,2023-07-28 16:56:14
INV0005101,Westwood Fund,PE,FI,2005,"1,505",Y,REF_FEED_B,2023-05-20 12:59:21
INV0023949,Jubilee Goldpoint Holdings,VC,CN,2013,3621,Y,REF_FEED_A,1696698583000
INV0021183,Vertex Southpoint Private Equity,CORP_VENTURE,US,1966,2115,Y,REF_FEED_A,2022-01-02 09:01:25
INV0000734,Coastal Ventures,VC,JP,1962,21798,Y,REF_FEED_A,2024-06-23 12:01:41
INV0018405,Polaris Ascend Ventures,PE,DE,1969,204,Y,REF_FEED_A,2023-02-18 08:54:06
INV0003849,Riverside Imperial Associates,VC,IE,1962,1418,Y,MANUAL,2023-04-13 14:14:04
INV0022715,Jupiter Royal Advisors,,JP,1982,11448,Y,MANUAL,2023-04-16 16:06:15
INV0009889,Jubilee Goldpoint Investment Partners,PE,FI,1983,7894,Y,REF_FEED_B,09-Nov-2022 23:54:47
INV0004406,Spectrum Liberty Capital Partners,VC,DK,2008,7058,Y,REF_FEED_B,11-Oct-2023 01:51:39
INV0022684,Fortune Quantum Private Equity,CORP_VENTURE,DK,2011,2344,Y,REF_FEED_B,2024-05-26 08:15:06
INV0003353,Spectrum Endeavor Capital Partners,VC,JP,2000,1807,Y,REF_FEED_A,2022-05-10 23:02:18
INV0015192,Pinnacle Sapphire Associates,SOVEREIGN_FUND,GB,2013,308,Y,MANUAL,2024-11-23 11:26:04
INV0015695,Vanguard Phoenix Group,VC,JP,1960,2380,Y,REF_FEED_A,2022-11-27 05:34:02
INV0019947,Sterling Horizon Equity,SOVEREIGN_FUND,LU,1956,21787,Y,REF_FEED_A,2022-09-24 06:54:48
INV0014355,Nova Cedarpoint Holdings,VC,AU,1977,$35454,Y,REF_FEED_A,2024-10-12 22:51:16
INV0021743,Vertex Ascend Capital,VC,DK,1975,2848,N,REF_FEED_A,2024-07-29 17:16:21
INV0018354,Eclipse Goldpoint Fund,VC,FI,2002,24834,Y,REF_FEED_A,2022-09-24 13:18:52
INV0017581,Redwood Cascade Advisors,PE,SG,2017,1177,Y,MANUAL,2024-04-03 05:33:03
INV0022489,Polaris Atlas Associates,PE,CN,2020,2749,N,REF_FEED_B,2024-04-26 03:28:45
INV0014093,Southpoint Global Equity,VC,FI,1962,5263,Y,REF_FEED_A,2023-02-01 01:19:52
INV0020524,Majestic Catalyst Capital Partners,ANGEL,CH,1994,963,Y,REF_FEED_B,18-Jun-2022 16:39:56
INV0003493,Frontier Terra Capital Partners,VC,IE,1953,567,Y,REF_FEED_A,2024-11-01 18:46:09
INV0019350,Majestic Bayshore Fund,CORP_VENTURE,IE,1953,3790,N,REF_FEED_A,2022-03-13 03:05:47
INV0015658,Insight Sterling Capital Partners,ANGEL,IE,1951,1700,Y,REF_FEED_A,2024-01-09 19:13:09
INV0003590,Cedarpoint Lighthouse Management,VC,NO,1962,23088,Y,REF_FEED_A,2023-04-07 11:29:54
INV0008125,Summit Orion Group,VC,SG,2014,1167,Y,MANUAL,2022-09-25 05:43:53
INV0018666,Sapphire Kings Associates,VC,IN,2020,1068,Y,REF_FEED_B,01-Apr-2024 10:38:24
INV0012043,Beta Granite Equity,PE,NO,1967,177,Y,REF_FEED_A,2023-05-19 02:45:00
INV0008505,Summit Coastal Growth Partners,VC,FI,2012,521,Y,REF_FEED_B,2022-08-15 10:45:10
INV0018725,Pinnacle Alpha Investment Partners,HEDGE_FUND,US,2007,1266,Y,REF_FEED_B,2023-01-21 05:53:39
INV0006254,Ironwood Atlas Capital,VC,NL,1951,2373,Y,REF_FEED_A,2024-08-05 15:11:06
INV0017245,Polaris Valleypoint Ventures,HEDGE_FUND,JP,1955,206,Y,REF_FEED_A,2023-06-15 10:49:50
INV0012332,Fusion Catalyst Group,ANGEL,CN,1959,370,N,REF_FEED_A,2024-01-27 10:08:16
INV0020199,Momentum Diamond Holdings,VC,FI,1981,3216,Y,REF_FEED_B,2022-06-07 07:14:31
INV0000867,Northstar Capital Fund,PE,SG,1985,40667,Y,REF_FEED_A,2022-03-15 11:48:32
INV0011507,Greenfield Global Asset Management,CORP_VENTURE,FR,1985,3582,Y,REF_FEED_A,2024-03-10 05:18:17
INV0012891,Genesis Guardian Advisors,VC,FI,1962,7916,Y,REF_FEED_B,2023-06-28 10:50:21
INV0015979,Cascade Lakefront Asset Management,VC,CH,1976,3033,Y,REF_FEED_A,2024-06-08 13:52:20
INV0012759,Nexus Noble Partners,CORP_VENTURE,US,1991,17534,Y,REF_FEED_A,2022-02-10 20:36:59
INV0021917,Northstar Beacon Holdings,VC,JP,1996,1220,Y,REF_FEED_B,2024-12-02 14:29:18
INV0009808,Northbridge Midland Equity,VC,LU,1966,7649,Y,REF_FEED_A,2023-01-01 08:43:43
INV0005036,Royal Vanguard Capital Partners,PE,SG,2014,707,Y,REF_FEED_A,2023-09-18 00:19:24
INV0017519,Unity Fortune Partners,PE,CN,1986,7289,Y,REF_FEED_A,2024-02-10 13:19:25
INV0021079,Endeavor Momentum Asset Management,PE,NO,2018,7091,Y,MANUAL,02/15/2022 15:58:18
INV0020182,Zenith Southpoint Investment Partners,ANGEL,FI,1981,6634,Y,REF_FEED_B,2022-08-26 17:23:38
INV0024662,Fusion Spectrum Investment Partners,VC,FR,1978,1896,Y,REF_FEED_B,06-Aug-2022 22:09:25
INV0012147,Jubilee Omega Fund,CORP_VENTURE,FR,2009,$1460,Y,REF_FEED_A,2023-11-22 23:49:19
INV0016542,Stratos Blackridge Capital,HEDGE_FUND,AU,1991,3342,Y,REF_FEED_B,23-Jun-2024 15:49:07
INV0009318,Mountainview Diamond Management,PE,CH,2030,14084,Y,REF_FEED_A,2022-07-14 02:39:55
INV0015821,Sterling Pinehill Partners,VC,DK,1961,5645,Y,REF_FEED_A,2023-11-03 07:17:48
INV0013953,Greenfield Lakefront Holdings,ANGEL,FR,2006,20821,Y,REF_FEED_B,10-Feb-2022 08:45:54
INV0012059,National Synergy Capital Partners,HEDGE_FUND,CN,1989,2278,Y,MANUAL,07/10/2024 14:38:23
INV0008092,Catalyst Polaris Growth Partners,CORP_VENTURE,DE,2014,4349,Y,MANUAL,2024-08-01 10:38:35
INV0023590,Crown Eastgate Asset Management,ANGEL,CA,2009,1326,Y,REF_FEED_A,2023-03-20 08:34:24
INV0024420,Bluerock Fortune Growth Partners,PE,BE,1969,4657,Y,MANUAL,09/30/2022 23:15:15
INV0007229,Nexus Olympic Fund,ANGEL,IN,1995,"3,879",Y,REF_FEED_B,11-Mar-2023 12:58:07
INV0022666,Regal Westwood Capital Partners,PE,FI,1982,1818,Y,REF_FEED_B,16-May-2023 09:44:23
INV0013339,Valleypoint Spectrum Management,PE,AE,1993,2167,Y,REF_FEED_A,2022-10-15 02:55:47
INV0009516,Beacon Meridian Advisors,SOVEREIGN_FUND,CN,2008,192,Y,REF_FEED_B,08-Jul-2022 15:47:15
INV0022390,Whitehorse Delta Group,ANGEL,LU,2005,1027,Y,REF_FEED_A,2024-11-19 04:03:38
INV0006550,Nova Northbridge Equity,CORP_VENTURE,NO,1972,4066,Y,MANUAL,27/08/2023 14:28:01
INV0005690,Granite Silverstone Management,ANGEL,SE,1966,5069,N,REF_FEED_A,2024-01-08 04:16:43
INV0006516,Liberty Meridian Investment Partners,SOVEREIGN_FUND,CN,1977,1684,Y,REF_FEED_A,2022-12-19 18:02:01
INV0015766,Gamma Jubilee Investments,CORP_VENTURE,LU,1974,403,Y,REF_FEED_A,2023-10-30 11:51:12
INV0014939,National Pinnacle Equity,VC,BE,1969,195,Y,MANUAL,2022-09-15 04:42:20
INV0003610,Kinetic Highland Group,VC,SE,2005,2167,Y,REF_FEED_B,21-Nov-2024 12:54:42
INV0007887,Oakwood Jubilee Equity,VC,NL,1961,2995,Y,REF_FEED_A,1677949481000
INV0012403,Greenfield Riverside Capital Partners,HEDGE_FUND,BE,2005,3901,Y,REF_FEED_A,2022-12-13 11:25:17
INV0002975,Diamond Lakefront Fund,VC,IE,1953,835,Y,REF_FEED_A,2024-11-26 02:24:05
INV0001916,Orion Highland Private Equity,ANGEL,FR,1964,3331,Y,REF_FEED_A,2024-08-11 10:30:46
INV0007812,Cascade Pinehill Associates,PE,SE,1958,935,Y,REF_FEED_B,17-Jul-2022 15:57:32
INV0009603,Spectrum Pinnacle Ventures,VC,GB,1995,900,Y,REF_FEED_A,2024-06-25 09:54:40
INV0014416,Genesis Nova Investment Partners,SOVEREIGN_FUND,AE,1985,5803,Y,REF_FEED_A,2022-09-03 23:38:17
INV0020140,Zenith Northbridge Group,PE,FR,2009,7886,Y,REF_FEED_A,2023-06-07 21:58:20
INV0006096,Whitehorse Valleypoint Group,SOVEREIGN_FUND,BE,1964,816,Y,REF_FEED_A,2024-06-14 12:59:29
INV0007540,Bayshore Highland Growth Partners,VC,DE,1972,843,N,REF_FEED_B,2022-11-11 19:22:52
INV0011817,Aurora Ironwood Fund,VC,US,2014,3484,Y,REF_FEED_B,2023-05-28 15:01:14
INV0010601,Fusion Fortune Holdings,CORP_VENTURE,LU,1953,153505,N,REF_FEED_A,2022-10-05 08:03:34
INV0014799,Orion Global Ventures,VC,FR,1983,13980,Y,REF_FEED_B,08-Nov-2023 05:41:01
INV0020480,Keystone Sterling Asset Management,PE,FI,1992,3725,N,REF_FEED_A,2022-06-01 03:10:53
INV0003711,Northstar Spectrum Associates,CORP_VENTURE,NL,1977,1129,Y,REF_FEED_B,19-Feb-2023 20:27:34
INV0020926,Highland Pinnacle Group,VC,DE,1993,4399,Y,REF_FEED_A,2023-05-16 10:59:03
INV0013610,Pacific Global Capital,ANGEL,JP,2020,791,Y,REF_FEED_A,1648405096000
INV0015466,Jupiter Ascend Holdings,VC,AU,1998,4471,Y,REF_FEED_A,2023-01-27 18:19:01
INV0009995,Bayshore Prime Growth Partners,,SG,1961,615,Y,REF_FEED_B,05-Mar-2023 09:03:39
INV0007299,Stratos Keystone Growth Partners,PE,US,2017,2571,Y,REF_FEED_B,2023-01-08 06:17:54
INV0019854,National Harbor Capital Partners,VC,CN,2010,18763,Y,MANUAL,2023-12-24 14:41:54
INV0006665,Polaris Apex Associates,PE,AU,2006,1350,Y,REF_FEED_A,2023-06-03 01:10:35
INV0023886,Mountainview Sapphire Ventures,VC,US,2008,249,Y,REF_FEED_B,13-May-2022 02:11:38
INV0001428,Meridian Equity,VC,GB,1950,5245,Y,REF_FEED_B,23-Dec-2024 16:13:44
INV0003078,Southpoint Insight Investments,PE,LU,2019,1369,Y,REF_FEED_A,2024-07-09 14:49:41
INV0017506,Jupiter Ignite Investment Partners,PE,FI,1988,1000,Y,REF_FEED_B,27-Nov-2024 07:05:26
INV0024839,Liberty Vector Equity,CORP_VENTURE,DK,1995,1784,Y,MANUAL,11/06/2022 09:47:33
INV0003542,Polaris Zenith Management,CORP_VENTURE,DE,1961,564,Y,REF_FEED_B,02-Aug-2024 22:03:59
INV0008183,Ascend Majestic Management,VC,CH,1961,7216,Y,REF_FEED_A,2023-05-10 12:38:35
INV0009213,Redwood Westwood Holdings,CORP_VENTURE,CA,1951,1218,Y,REF_FEED_A,2024-05-03 20:47:24
INV0001347,Oakwood Orion Equity,ANGEL,US,1963,6596,Y,REF_FEED_A,2023-07-09 06:05:06
INV0009527,Legacy Sigma Equity,CORP_VENTURE,IE,1957,2268,Y,MANUAL,11/04/2023 23:21:17
INV0004373,Liberty Catalyst Investment Partners,ANGEL,DK,2004,1570,Y,REF_FEED_A,2022-03-17 02:27:00
INV0001890,Pinehill Goldpoint Investment Partners,SOVEREIGN_FUND,IE,1974,8578,Y,REF_FEED_B,01-Aug-2024 04:37:17
INV0024672,Eastgate Synergy Capital Partners,PE,US,1986,4830,N,REF_FEED_A,2023-03-13 13:07:22
INV0014379,Highland Zenith Asset Management,VC,FI,2012,2321,Y,MANUAL,11/30/2024 00:39:49
INV0007199,Goldpoint Silverstone Advisors,PE,IN,2002,5987,Y,REF_FEED_A,2023-01-29 10:23:21
INV0004895,Horizon Meridian Advisors,HEDGE_FUND,FR,1997,9428,Y,REF_FEED_B,07-May-2024 03:24:40
INV0002906,Granite Sirius Investments,VC,JP,2014,901,N,REF_FEED_B,01-Aug-2022 23:02:25
INV0006663,Gamma Nexus Investments,VC,SG,1962,1908,Y,REF_FEED_A,2023-01-11 01:28:09
INV0009810,Sirius Summit Capital Partners,PE,CH,1964,436,Y,MANUAL,2023-05-11 12:57:45
INV0005419,Apex Bayshore Equity,VC,AE,2001,11454,Y,REF_FEED_B,16-Jul-2022 13:38:35
INV0003548,Pinnacle Phoenix Capital,VC,IE,2014,1131,Y,MANUAL,2023-11-03 14:45:21
INV0012725,Matrix Olympic Holdings,PE,DE,1967,3381,N,REF_FEED_A,2023-03-21 08:26:09
INV0013554,Capital Luminous Equity,VC,GB,1974,$21645,Y,REF_FEED_B,01-Apr-2024 03:57:35
INV0024372,Luminous Jubilee Associates,ANGEL,GB,1981,660,N,REF_FEED_A,2022-07-10 17:35:37
INV0011128,Frontier Nova Ventures,ANGEL,JP,2020,160,Y,REF_FEED_B,14-Jul-2022 04:17:18
INV0017605,Riverside Beacon Capital Partners,VC,CH,1991,5893,Y,REF_FEED_A,2024-07-05 07:40:54
INV0004745,Ironwood Whitehorse Capital Partners,VC,FI,1978,3025,Y,REF_FEED_A,2022-11-15 00:57:25
INV0018973,Unity Stratos Associates,VC,,1972,5661,Y,REF_FEED_A,2024-01-10 04:14:08
INV0001476,Momentum Catalyst Capital,SOVEREIGN_FUND,NO,1999,11914,Y,REF_FEED_B,26-Dec-2023 13:10:19
INV0021162,Stellar Lowland Holdings,PE,SG,2004,2424,Y,MANUAL,09/13/2023 13:36:00
INV0000537,Crown Jupiter Partners,HEDGE_FUND,SE,1974,1498,Y,REF_FEED_A,1645720465000
INV0016452,Phoenix Atlas Private Equity,VC,IN,2005,3388,Y,REF_FEED_A,1657952024000
INV0016428,Polaris Catalyst Holdings,VC,GB,2003,11473,Y,REF_FEED_A,2023-05-05 18:00:06
INV0015253,Goldpoint Blackridge Capital,PE,AU,1994,432,Y,REF_FEED_B,2024-01-18 16:30:21
INV0022276,Kings Goldpoint Advisors,PE,FI,1965,14325,Y,REF_FEED_A,2024-10-11 16:16:07
INV0018873,Gamma Whitehorse Capital,ANGEL,US,1968,7643,Y,REF_FEED_A,1712836890000
INV0002886,Matrix Investment Partners,CORP_VENTURE,SE,2013,"4,146",N,REF_FEED_A,2022-12-22 09:46:41
INV0014588,Jupiter Guardian Investment Partners,ANGEL,JP,1961,6979,Y,REF_FEED_A,2023-10-26 22:36:09
INV0002843,Matrix Alpha Investment Partners,HEDGE_FUND,SE,2008,884,N,REF_FEED_B,2022-02-27 11:36:40
INV0013978,Beacon Jubilee Investment Partners,VC,LU,2000,429,Y,REF_FEED_A,1718286110000
INV0024635,Unity Eclipse Fund,PE,CA,1999,7385,Y,REF_FEED_A,2022-01-26 21:11:42
INV0007118,Legacy Management,VC,AU,2006,1901,Y,MANUAL,2024-01-10 04:26:28
INV0019070,Prime Venture Holdings,CORP_VENTURE,FR,1988,5059,Y,REF_FEED_B,27-Feb-2023 03:47:56
INV0010762,Bayshore Horizon Ventures,PE,IN,1957,3212,Y,MANUAL,2022-02-12 07:16:16
INV0010841,Vertex Luminous Advisors,ANGEL,NO,2006,17637,Y,MANUAL,2024-02-29 13:05:39
INV0021480,Omega Jubilee Ventures,VC,,2016,2521,Y,REF_FEED_A,2023-11-24 12:11:34
INV0013621,Omega Polaris Advisors,VC,DK,1956,347,Y,REF_FEED_B,2023-12-04 10:42:06
INV0021394,Olympic Investment Partners,VC,NL,1956,39485,Y,REF_FEED_A,2023-06-24 21:11:58
INV0007304,Apex Matrix Associates,VC,FI,1983,2089,Y,REF_FEED_A,2022-04-10 07:57:07
INV0005326,Catalyst Zenith Equity,ANGEL,SG,1991,8599,Y,MANUAL,2022-10-05 06:45:49
INV0024697,Spectrum Pacific Group,PE,CN,1955,11080,Y,MANUAL,2022-06-07 08:09:08
INV0003674,Coastal Advisors,SOVEREIGN_FUND,IN,1973,6870,Y,MANUAL,10/14/2024 09:03:30
INV0016675,Midland Nexus Equity,CORP_VENTURE,SE,2006,19289,Y,REF_FEED_A,2024-05-04 13:51:59
INV0012366,Majestic Atlas Associates,VC,CN,1970,3877,Y,REF_FEED_B,10-Apr-2022 21:14:09
INV0008275,Evergreen Ironwood Group,PE,FI,1995,726,Y,REF_FEED_B,26-Jan-2023 19:19:18
INV0000960,Sapphire Management,SOVEREIGN_FUND,CH,1999,2675,Y,REF_FEED_A,2024-07-27 15:11:17
INV0012397,Synergy Vanguard Associates,SOVEREIGN_FUND,NO,1995,354,Y,REF_FEED_A,2024-06-02 17:59:56
INV0001819,Nova Capital Partners,VC,BE,1974,4225,Y,REF_FEED_A,2022-01-20 20:47:44
INV0014280,Venture Sterling Holdings,SOVEREIGN_FUND,AU,2011,11747,Y,REF_FEED_B,12-Aug-2022 05:22:41
INV0017918,Guardian Bayshore Equity,HEDGE_FUND,AE,1960,8849,Y,REF_FEED_B,08-Jun-2023 19:48:47
INV0005077,Kings Sterling Investments,PE,CN,1970,2303,Y,REF_FEED_B,2023-05-05 08:23:03
INV0016791,Kings Sterling Capital Partners,ANGEL,DK,1988,31384,Y,MANUAL,11/11/2022 10:10:06
INV0001748,Northstar Ventures,VC,CN,1950,2406,Y,REF_FEED_B,21-Oct-2023 02:36:23
INV0000324,Imperial Management,VC,GB,1978,3840,Y,REF_FEED_A,2022-01-16 17:24:15
INV0010297,Zenith Cedarpoint Capital,CORP_VENTURE,CA,1983,2932,Y,REF_FEED_A,2024-06-24 01:24:40
INV0012751,Quantum Titan Fund,VC,NO,1984,4648,Y,REF_FEED_B,2023-01-21 02:40:42
INV0010013,Fusion Liberty Fund,ANGEL,AE,1953,199,Y,REF_FEED_A,2022-11-21 04:46:59
INV0019763,Pacific Beacon Fund,VC,JP,2012,555,Y,REF_FEED_A,2024-05-30 10:29:39
INV0022708,Jubilee Highland Holdings,PE,US,2006,21363,Y,REF_FEED_B,2022-01-04 03:39:46
INV0003785,Imperial Redwood Advisors,CORP_VENTURE,FI,1991,4853,Y,REF_FEED_A,2022-10-27 05:41:04
INV0020799,Diamond Olympic Ventures,VC,AE,2006,921,Y,REF_FEED_A,2023-10-24 12:17:03
INV0023769,Frontier Pinnacle Ventures,VC,US,2011,1059,Y,REF_FEED_A,2022-05-28 01:20:21
INV0008484,Sirius Highland Holdings,PE,CA,1995,760,Y,REF_FEED_A,2023-04-10 10:16:50
INV0024717,Spectrum Titan Growth Partners,PE,LU,1958,21204,Y,MANUAL,02/02/2024 14:55:57
INV0013837,Titan Venture Capital Partners,VC,DK,1974,16400,Y,REF_FEED_B,02-Feb-2023 05:44:12
INV0002282,Crown Investments,HEDGE_FUND,JP,1999,5450,Y,REF_FEED_B,03-Nov-2024 04:07:01
INV0013515,Titan Kings Private Equity,VC,NO,2003,"3,343",Y,REF_FEED_A,2022-03-29 10:44:49
INV0021715,Nova Endeavor Associates,VC,CA,1974,5082,Y,REF_FEED_A,2023-09-30 12:34:06
INV0024102,Alpha Legacy Private Equity,VC,SG,1967,12079,Y,MANUAL,03/29/2022 14:25:12
INV0019000,Crown Nexus Fund,VC,SG,1963,2020,Y,REF_FEED_A,2022-08-24 21:49:20
INV0010463,Terra Gamma Group,PE,LU,1970,18988,Y,REF_FEED_B,20-Nov-2024 15:45:19
INV0024826,Sirius Noble Growth Partners,CORP_VENTURE,AU,1977,593,Y,REF_FEED_A,2022-08-30 15:55:18
INV0006816,Beacon Coastal Investments,PE,US,2013,7816,Y,REF_FEED_A,2024-11-13 23:45:05
INV0016799,Sigma Jubilee Investments,CORP_VENTURE,JP,2020,10511,Y,REF_FEED_B,04-Nov-2024 12:20:40
INV0007956,Northbridge Ignite Investments,PE,IN,1986,3150,Y,REF_FEED_B,20-Sep-2023 05:56:37
INV0004294,Beacon Momentum Partners,VC,FI,1952,44329,Y,REF_FEED_B,2023-06-07 01:06:35
INV0006245,Southpoint Titan Group,PE,US,2005,19543,Y,REF_FEED_A,2023-09-03 05:54:36
INV0022932,Riverside Eastgate Equity,HEDGE_FUND,DK,1981,9020,Y,MANUAL,2023-01-07 20:03:40
INV0004520,Vertex Capital,VC,BE,1954,752,Y,REF_FEED_B,2024-05-12 10:48:07
INV0015260,Unity Insight Advisors,VC,BE,1989,838,Y,REF_FEED_B,2024-01-04 12:47:13
INV0020015,Vanguard Pinnacle Equity,VC,DK,1979,843,Y,REF_FEED_B,2023-12-18 13:03:15
INV0003844,Bluerock Insight Management,VC,DE,1991,9537,Y,REF_FEED_A,2024-01-27 16:55:22
INV0023909,Polaris Prime Equity,VC,DK,1998,2296,N,REF_FEED_B,22-Mar-2024 08:54:52
INV0022928,Ascend Whitehorse Asset Management,CORP_VENTURE,DE,1979,3149,Y,MANUAL,2024-01-08 15:20:04
INV0002852,Titan Luminous Partners,,FR,1989,4304,Y,REF_FEED_A,2024-03-25 13:56:14
INV0012571,Liberty Fund,ANGEL,CA,2020,6912,Y,REF_FEED_A,2024-02-03 16:26:10
INV0013074,Unity Endeavor Advisors,VC,FR,1972,5509,Y,REF_FEED_B,10-Jan-2022 05:16:48
INV0005816,Ascend Noble Group,VC,NL,2010,4917,Y,REF_FEED_B,09-Nov-2022 02:36:00
INV0012592,Vanguard Imperial Associates,PE,US,1965,"5,814",Y,MANUAL,2023-11-30 12:15:44
INV0008158,National Greenfield Fund,PE,NO,2000,1776,Y,REF_FEED_A,2022-11-22 18:48:03
INV0009154,Luminous Capital Fund,ANGEL,GB,1978,721,Y,REF_FEED_B,2024-05-10 18:55:47
INV0006380,Sapphire Phoenix Management,PE,CA,1993,1503,Y,REF_FEED_B,07-Sep-2024 20:43:56
INV0015444,Lakefront Liberty Associates,,US,2018,2754,Y,REF_FEED_B,30-May-2022 21:31:47
INV0000398,Polaris Associates,ANGEL,FI,2017,11099,Y,MANUAL,2024-04-02 10:18:33
INV0006879,Synergy Sirius Holdings,PE,BE,1987,13988,Y,REF_FEED_A,1646587969000
INV0021804,Pinehill Blackridge Capital Partners,HEDGE_FUND,AU,1977,584,Y,MANUAL,2024-04-03 23:37:00
INV0001202,Southpoint Nexus Growth Partners,PE,DE,1987,21863,Y,REF_FEED_A,2023-09-30 09:43:58
INV0006385,Stratos Southpoint Growth Partners,VC,IN,1957,15339,Y,REF_FEED_A,2022-03-20 15:13:24
INV0008551,Genesis Insight Group,PE,JP,2021,1389,Y,REF_FEED_B,11-Jun-2023 03:13:04
